Feature,001_FC_S002_SOURCE_Female_Control,002_FC_S004_SOURCE_Female_Control,003_FC_S006_SOURCE_Male_Control,004_FC_S007_SOURCE_Female_CD,005_FC_S011_SOURCE_Female_CD,006_FC_S012_SOURCE_Male_Control,007_FC_S014_SOURCE_Female_Control,008_FC_S015_SOURCE_Male_Control,009_FC_S016_SOURCE_Female_CD,010_FC_S018_SOURCE_Female_Control,011_FC_S020_SOURCE_Male_CD,012_FC_S022_SOURCE_Female_Control,013_FC_S024_SOURCE_Male_CD,014_FC_S025_SOURCE_Male_CD,015_FC_S026_SOURCE_Male_Control,016_FC_S028_SOURCE_Female_Control,017_FC_S030_SOURCE_Female_Control,018_FC_S031_SOURCE_Male_Control,019_FC_S032_SOURCE_Female_Control,020_FC_S033_SOURCE_Male_CD,021_FC_S035_SOURCE_Male_CD,022_FC_S036_SOURCE_Male_CD,023_FC_S040_SOURCE_Male_CD,024_FC_S041_SOURCE_Male_Control,025_FC_S042_SOURCE_Female_CD,026_FC_S044_SOURCE_Male_Control,027_FC_S045_SOURCE_Female_CD,028_FC_S047_SOURCE_Female_Control,029_FC_S050_SOURCE_Female_Control,030_FC_S051_SOURCE_Male_Control,031_FC_S052_SOURCE_Male_CD,032_FC_S056_SOURCE_Male_CD,033_FC_S057_SOURCE_Male_Control,034_FC_S060_SOURCE_Male_CD,035_FC_S061_SOURCE_Female_Control,036_FC_S062_SOURCE_Control,037_FC_S063_SOURCE_Female_CD
CMP,0.003044184245920086,0.0011735805222037265,9.54111218318555e-4,3.861263266547889e-4,0,0.003086353152230473,0.0011628620301279858,0.020346529727583943,0,0.0027239269936053007,0.001091207883285522,0.0017370439807800515,0.0030560468791788393,8.220754017997121e-4,0.0025891575598878166,0.00198469620667965,0,0.001597151290099719,0,0.0011680161042793172,0,0,0.002337925256501755,5.219910176905161e-5,3.680151012640876e-4,0.00422635937840435,0.0041111025676246055,0.001550122124873254,0.0031489005211675354,0.019945588771838475,0.001869931280484522,0.0012743096861182514,7.905906540008025e-4,0.0036575295860890806,8.408227860054365e-4,0.004825513674838217,6.457805477647613e-4
Cortexolone,0.07355628131941017,0.03292703353488802,0.00271794475174711,0.048476920072797226,0.007665710786252796,0.023333311166224474,0.01182579175833724,0.017132297388480024,0.015369367799177348,0.1170049897140431,0.015887838378362832,0.009845277290221215,0.014971486779456191,0.012521160687882346,0.01033701307793419,0.017198088927741384,0.02402508381905701,0.02742258841157915,0,0.01213661461452381,0,0.017557269111244382,0.017324030794899248,0.009247725630672502,0.010867132163894256,0.002676380057677963,0.014813861133138626,0.024005295596303117,0.022295082930369855,0.016124902763385584,0.010400301914865366,0.020670721373493052,0.015006601303762523,0.01905786995766503,0.03933906321775036,0.01701915288073988,2.1931413850043423e-4
Cortisol 21-Acetate,0.016263834651312273,0,0,0,0.00927102677643972,0.0011724911990960312,0.009181956476944409,0.011521062680316671,0.012613139273424483,0,0.0013274088848825168,0,0,0,0.024214418626746535,0,0,0,0,0.009199186704276458,0,0,0.00501895934287608,0,0.0034656679134985953,0.008605298973224314,0,0.03310490169257191,0,0.0193363643022278,0,0,0.0016267660061164493,0,0,0,0
Cortisone,0.03501831470209818,0.062094112098764004,0.0605378801271153,0.045197038406922754,0,0,0.04112382410458541,0.032099648930296085,0,0.03961302064082846,0,0.15961707319037208,0.014805280660647516,0.009930418982516023,0.021371549850512227,0.024521177202143935,0.13128004811114527,0.049662153853201566,0.17701550418373718,0.0019204787814065239,0.11133538835794898,0.0985932517790572,0.015378792695881487,0.02225704222676066,0,0.027936395466735566,0.11243780200139712,0.11785676105156111,0.025718672919597153,0.037795301799325956,0.02634222041367235,0.08410347982428851,0.15993083786845227,0,0.06000184052073499,0,0.30874016067643767
Creatine,0.11093191256415902,0.15744674203538447,0.09364943219037378,0.03368671240825016,8.825884336903774,2.9166538130099933,0.2837182950088627,3.377852093526269,0.20707364096858796,0.01685716141211283,4.4708469527338375,0.02324277104816674,3.4424956990584366,0.021539293030907587,0.3951172334830908,0.03167086613697988,0.4294260839221187,0.11817325888924175,0.07400362173304222,0.06337275155964088,0.019011005314014378,13.646729445436565,1.7153534740641356,0.2629282175014401,0.0769755079741281,10.256902564488655,0.018077134185681153,0.23602811548764246,0.020132274957492747,0.05445051501927771,0.06828662581314626,0.11907525175488057,0.06746313684491956,0.20159862965118897,0.21774854147140424,24.619799211254385,0.06142964566536527
Creatinine,0.04695426690832712,0.15935965575388858,0.07697751366376772,0.18495667210929748,2.2788935486972544,1.5958263005468967,3.7340691709031355,8.483190189221222,0.6361592033113077,0.009773152179972239,2.640918897661383,0.019656166212743752,1.002668650211195,1.070748022370996,0.4614969287082501,0.00810799284048987,2.893143690136992,0.010780036708202042,0.014134427238364595,0.3139091214971051,0.019550676796353007,5.745991345446975,1.9760706486504818,3.0507701572686177,1.7725841102277935,4.352719155518295,0.008285312498406494,0.025833781089888708,0.009691617742340874,0.05675330803383759,0.7016044950218732,2.8191897401608697,0.01995214222532791,0.2737328832118051,0.015787679984112495,2.9735601644761784,0.01408644833809024
Crotonic acid,0.061367590879521185,0.0639492088902334,0.010207296625887223,0.0601494732958785,0.020142614463656887,0.021537682642036794,0.01667059564442085,0.019045208688029024,0.012261168613450071,0.12024905440591091,0.011228368022992695,0.016779154077102836,0.03153157261404488,0.006161093025777098,0.005602795250865929,0.014207720774141243,0.05385672655633458,0.08856981651925484,0.029335992933124243,0.007748420786458221,0.03549054015725696,0.008435618217962109,0.005754077316597476,0.007006069906287695,0.006306359203543035,0.028849996063884647,0.0070030939488058075,0.03327689171957985,0.017719965204320922,0.01053836423347198,0.008122245858048634,0.021390645646318943,0.011230296244012186,0.01069985955728577,0.03335959127118309,0.06150708541477136,0.007991997635591167
Cys-Gly,0.0024995318256092456,0.0013240211395740967,0.002001155337553445,0.003497570877049429,0.0013385247325881254,0.002980192230080322,0.005671089639919957,0.002296032627249769,0.002363172033935431,0.0010827714937560297,9.363838028842899e-4,0.005168303544045226,0.002538310921014906,0.0018919591746633315,0.0046638412207373236,0.0025175255647098315,0.0024118160937646525,0.002107235819215369,0.003141675189787171,0.007261977620969409,0.0050574781074936796,0.0030597869389338535,0.0023800360214086633,0.004258748667060201,7.140445919901545e-4,0.001559690188463609,0.0056110152103468775,0.0018866307502915952,7.687421058538128e-4,0.010342560427872289,0.0015649146304400272,0.0024777127995395027,0.0018987575973669932,0.002461034044198833,0.0011161449025310726,4.558393683566238e-4,0.0019126248689303965
Cystine,0.0015913773092269938,0.0010310535014927149,0.008597446096764522,0.0030549085939379915,0.002878069112755451,0.0012895512015474058,0.00311362827824078,0.001183416009801264,0.0015219167554272673,8.185137971767537e-4,0.005433008723804819,0.004077810176357479,0.0014936327661795464,0.0011139583300699433,0.0019326625163531956,9.816522903865353e-4,0.002253384222252357,0.0016977742328732751,6.333095945323233e-4,0.0021969740534453007,0.007027776010053463,0.0025643390803680084,0.015227060336665904,0.0022896350260813206,0.0018798681538623996,0.0012805116400665902,2.6001163215470883e-4,0.004167375035317421,0.002456021560124956,0.0048419062306528735,7.1163923880659e-4,9.196058415141547e-4,0.002085768931689131,7.052347989242502e-4,0.002255043232133043,7.067333566911567e-4,0.0022593994941984322
Cytidine,0.030759434868722905,0.10983638699405425,0.35037430127908126,0.015749703596251954,0.005413254165966031,0.11067549625447991,0.028601402980296346,0.1646201607304994,0.009713709739521077,0.03874167995604535,0.008467323121773151,0.10208036680011134,0.015295978950774437,0.023893411540628372,0.10135502764142129,0.05518104321066659,0.009798577477040785,0.023374202396349728,0.06427533962062384,0.06072136744609556,0.018792178267031258,0.017149706472653275,0.05879669290416676,0.02890700749009801,0.016172808371140157,0.09764270731386553,0.020996061264840053,0.04068114430291284,0.04648178593350804,0.08408399934096522,0.056872531291083904,0.010425660537515155,0.09003850168264918,0.020389501446905323,0.01382998542572449,0.04164776842077597,0.013525833307398726
