	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.00139	0.00265	0.00587	0.00822	0.0086	17.471629999999998	0.26744	0.00581	0.01738	0.07762999999999999	0.02022	0.21702	0.00028	0.01108	0.12805999999999998	0.00576	0.0005200000000000001	0.0	0.0	0.20683	0.0	0.0	1.50876	0.0	0.0	0.18904	0.06722	0.0	0.0	0.0	0.12476	2.27299	0.01601	0.0202	0.20755	0.0	0.03095	0.0	0.13443	0.0	0.00256	0.0	0.0	0.03445	0.0	0.46326999999999996	0.0	0.0	0.09351	0.15187	0.30781	0.01936	0.0	2.96207	0.00146	1.17544	0.66868	0.01015	0.27249	0.16595	0.00025	0.00545	0.02721	0.11354000000000002	5.452369999999999	0.11549000000000001	0.0	0.26183	1.9510299999999998	0.32645	0.9100299999999999
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_gordonii	0.0	0.0	0.0118	0.0	0.0	3.83972	0.0	0.03372	0.08356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03142	0.0	0.01925	0.0	0.0	0.0	0.0	0.00302	0.02968	0.0	0.0	0.0	0.0	0.0	0.00518	0.0	0.0	0.0	0.0	0.0	0.0	0.036910000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00084	0.0	0.0	0.0069299999999999995
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.0025399999999999997	0.45692	0.0	0.19685999999999998	0.13790999999999998	3.3113	0.00511	0.004379999999999999	0.34428000000000003	0.18348	0.177	0.0	0.00117	0.00782	0.00128	0.00064	0.26177	3.5721300000000005	0.07153	0.0	0.9797799999999999	0.17992	0.0267	0.0	1.36257	0.0	0.38151999999999997	0.37344	0.0	0.0065	0.0405	0.13362000000000002	0.0	0.23805	0.0	0.00886	0.0	0.07059	0.18991	0.00037999999999999997	0.0	0.0	0.0095	0.00325	0.10759	0.04096	0.0	0.04541	0.08644	0.0	0.0	0.0	0.09719	0.0	0.0	0.0	0.0	0.0017100000000000001	0.0	0.00633	0.013130000000000001	0.01797	0.38833	0.0	0.0	0.00705	0.0	0.00216	0.0	0.00244	0.00677
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0.0	5.9999999999999995e-05	0.28576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7502400000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07264	0.33299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01624	0.00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.05678	0.0	0.0	0.26102	0.0	0.03362	0.12169	0.12550999999999998	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	0.0	0.18566	0.0	0.00921	0.057179999999999995	1.12724	0.11635999999999999	0.0	0.35468	0.04022	0.09721	0.0	0.0036200000000000004	0.0	0.0	0.00045	0.00059	4.31982	0.0	0.0	0.00049	0.0	0.0	0.0	2.10069	0.0	0.00095	0.00151	0.0719	0.22698000000000002	0.01132	0.015359999999999999	0.0	0.04841	0.0	0.0	0.0	0.00033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_varium	0.23931	0.0	0.0056	2.73299	0.007670000000000001	0.01163	7.83034	15.33283	0.02385	0.63288	12.37572	0.09036	0.22309	1.92399	0.5344399999999999	0.00186	7.755560000000001	0.02482	2.27977	0.0018800000000000002	0.006529999999999999	0.05255	0.0	0.0	0.0	0.0	0.00428	0.01042	0.0	4.77139	0.0	0.55611	0.0	0.0	0.12882000000000002	0.0	0.0	0.0	0.013009999999999999	0.01671	0.0	0.0	0.0	0.00346	0.0295	0.0	0.00196	0.0	0.0	0.0	0.01852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61965	0.0	0.0	0.0	0.0	0.19698	0.0	0.026639999999999997	0.0	0.0020399999999999997
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium	0.0	0.0	0.00487	0.0	0.0	0.0	0.0	1.48455	0.0	0.0	0.0	0.0	0.0	0.44273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05976	0.0	0.0	0.14532	0.73301	0.036719999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.27803	0.0	0.0	0.0	0.0	0.0	0.16357	0.01935	0.0	0.0	0.00061	0.0	0.0	0.0	0.0053100000000000005	0.04214	0.0	0.14440999999999998	0.0	0.0	0.00922	0.02965	0.04094	0.01645	0.005679999999999999	0.48996999999999996	0.0	0.13533	0.22945	0.07572000000000001	0.22398	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.2113	0.0	0.33888	0.32250999999999996	0.00147	1.1965299999999999	1.3669200000000001	2.19022	1.2665899999999999	0.5444100000000001	0.74415	0.95296	0.16744	1.23547	0.58609	0.00144	0.00231	0.0032600000000000003	1.0576299999999998	0.6402899999999999	0.6399199999999999	0.037989999999999996	0.0257	0.0	0.0	0.39839	0.18868	0.28714	0.0	0.62045	0.0	1.21455	0.07918	0.14601	0.5251899999999999	0.07705	0.13926	0.7719600000000001	0.08007	0.51732	0.22734000000000001	0.05151	0.1147	0.16776	0.07426	0.05094	0.88351	0.06485	0.22184	0.7207	1.16782	0.51263	0.14561	2.53041	0.05552000000000001	0.38613000000000003	0.53246	0.0869	0.38608000000000003	0.4418	0.15802	0.26494	0.68097	0.51061	0.15581	0.48861000000000004	0.08257	0.35188	1.4823899999999999	0.3451	0.2092
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_BL7	0.0	0.0	0.0026100000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76145	0.0	0.0	0.0	0.27384000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38238	0.19283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00471	0.0037700000000000003	0.00231	0.30244	0.0	7.81855	0.00106	0.29829	0.0	0.0	0.0	0.0	0.0	0.00322	0.0	0.19785	0.0	0.0030399999999999997	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea	18.69238	0.0239	0.03648	0.0	0.00441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006370000000000001	0.0	0.0	0.0	0.0	4.31093	0.0	0.0	0.0	0.0	0.00313	0.0	0.0	0.0	0.0	0.0	0.0	0.02398	0.01547	0.01863	0.030039999999999997	0.0	0.53537	0.0	0.0	0.0066099999999999996	0.0	0.87039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00703	0.0	0.019430000000000003	0.0	0.015880000000000002	0.0	0.09218	0.0	0.0086	0.0	0.01759	0.0	0.01529	0.00014	0.0018	0.014159999999999999	0.014709999999999999	0.0	0.0	0.0	0.0013800000000000002	0.0
