	A063	A060	A056	A052	A045	A042	A040	A036	A035	A033	A025	A024	A020	A016	A011	A008	A007	A062	A061	A057	A051	A050	A047	A044	A041	A032	A031	A030	A028	A026	A022	A018	A015	A014	A012	A006	A004	A002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.0	0.0	0.0	0.0	0.0	6.95383	0.0	0.0	0.0	0.0	0.48541999999999996	0.52764	0.0	0.0	0.0	0.0	0.19682	0.0	0.0	0.0	0.0	0.0497	0.0	0.0	0.0	0.0	0.42806000000000005	0.12500999999999998	4.2977099999999995	0.7939	0.0	0.0	0.0	0.0	0.0007700000000000001	0.09300000000000001	0.018680000000000002	0.0172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0.83741	0.0	0.0	0.0	0.0	0.07103	0.0	0.0	0.0	0.26368	0.16802	0.70499	2.06294	0.0	0.0	0.0	0.0	0.0	0.05722000000000001	1.06021	0.039	0.0	0.0	0.0	0.6562100000000001	0.0	0.5207	0.20443	0.37028	0.03707	0.0	0.0	0.0	0.0	1.19974	0.0	0.06546	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0.6914600000000001	0.0	0.0	0.08283	0.0051600000000000005	0.0013800000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007099999999999999	0.0	0.0	4.70582	0.38452	0.0	0.0	0.0	0.0	0.0	2.7903599999999997	0.0	2.01884	1.5741100000000001	0.0	0.0	0.0	0.0	8.566130000000001	0.02563	0.01284	0.00462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0.0	0.0	0.0	0.0	0.51055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5599099999999995	0.0	1.9816900000000002	0.0	0.78162	2.91898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00782	0.0	0.0	0.09905
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0.56229	0.0	0.0	0.11023	0.0	2.89202	0.0	0.0	3.51548	0.0	0.69631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00402	0.15617	0.0	0.0	0.18409	1.37751	0.0	0.0	0.0	0.0	0.0	0.20252	0.04333	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.0	14.72241	0.0	0.05612	0.0	8.85211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.75128	0.0	1.17008	0.0	0.0	0.0	1.6609099999999999	0.0	9.45311	0.0	3.7759	7.89388	0.0	0.0	2.6061400000000003	0.0	0.02795	0.8811399999999999	3.21672	0.0	0.79093	1.18921	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.00835	0.0	0.0	0.32008000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.05951	0.0	0.0	1.36246	0.0	0.0	0.10761	0.0	0.0	0.02405	0.0	1.0972600000000001	0.0	0.00185	0.00557	0.0	0.036180000000000004	0.37851999999999997	0.039310000000000005	0.00869	0.0	0.0	0.0	0.07749	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	1.5838700000000001	18.29325	50.54439	0.11297	0.12945	15.270620000000001	0.06805	0.0	0.0	0.0706	0.34646	9.865639999999999	22.07094	8.02336	0.0	0.0	5.872669999999999	0.0	0.39429000000000003	0.95415	0.95219	0.36607	7.301839999999999	0.65465	42.57335	0.9172899999999999	0.6990000000000001	0.60164	1.8021599999999998	1.51928	6.42662	0.01151	0.38132	5.7161	5.78683	0.04635	0.03186	0.22363000000000002
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	0.5080399999999999	0.0	0.0	0.0	0.0	1.7589700000000001	0.0	0.0	0.3503	1.39772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2767700000000002	0.24624000000000001	0.0	0.0	0.0	0.0	0.0	0.78171	0.02943	0.35905	0.63171	0.0	0.0	0.0	0.0	0.0	0.00528	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0.0	0.0	0.0	0.7979	0.0727	8.16366	0.01726	0.0	5.4584	6.90596	2.15905	0.0	0.0	0.0	5.22545	0.34778000000000003	7.8876100000000005	0.0	0.24174	0.0	0.2424	3.0117599999999998	2.47433	3.31754	0.0	0.38266	0.0	0.0	0.0	0.0	0.0	0.0	0.38049	8.2073	0.0	0.6662399999999999	0.27413000000000004	0.34336
